Language	Accuracy	Source
abl	42.54529301	
abs	85.97835999	
ace	47.27609397	
ban	48.15494613	
bbc	37.9493857	
bew	74.91379137	
bhp	76.22482612	
bjn	41.46420173	
btx	62.2150015	
bug	35.8967691	
ceb	61.02753517	
eng	86.12707444	
fil	56.17730675	
hmv	35.90588282	
ilo	48.14285062	
ind	53.7277977	
jav	52.78297196	
kac	31.67728263	
khm	48.8807792	
lao	50.94916609	
ljl	6.945502966	
lus	41.21293045	
mad	44.71746959	
mak	57.81540351	
min	49.79559868	
mui	76.21474202	
mya	39.26993978	
nij	41.05856569	
pag	48.0408688	
rej	65.93406034	
shn	36.56232826	
sun	53.11165953	
tha	51.28349433	
vie	46.21711573	
war	56.98846809	
zlm	56.2942407	
