Language	Accuracy	Source
aax	1	accuracy = # dataset in seacrowd
aaz	3	accuracy = # dataset in seacrowd
abc	2	accuracy = # dataset in seacrowd
abd	1	accuracy = # dataset in seacrowd
abl	3	accuracy = # dataset in seacrowd
abp	1	accuracy = # dataset in seacrowd
abs	7	accuracy = # dataset in seacrowd
abx	4	accuracy = # dataset in seacrowd
abz	2	accuracy = # dataset in seacrowd
ace	24	accuracy = # dataset in seacrowd
acn	3	accuracy = # dataset in seacrowd
adn	1	accuracy = # dataset in seacrowd
aem	1	accuracy = # dataset in seacrowd
aem	1	accuracy = # dataset in seacrowd
afz	1	accuracy = # dataset in seacrowd
agf	1	accuracy = # dataset in seacrowd
agn	4	accuracy = # dataset in seacrowd
agt	4	accuracy = # dataset in seacrowd
agv	1	accuracy = # dataset in seacrowd
agy	1	accuracy = # dataset in seacrowd
ahh	1	accuracy = # dataset in seacrowd
ahk	7	accuracy = # dataset in seacrowd
ahk	7	accuracy = # dataset in seacrowd
ahk	7	accuracy = # dataset in seacrowd
aip	1	accuracy = # dataset in seacrowd
air	1	accuracy = # dataset in seacrowd
akb	3	accuracy = # dataset in seacrowd
akc	1	accuracy = # dataset in seacrowd
akg	1	accuracy = # dataset in seacrowd
akl	1	accuracy = # dataset in seacrowd
alj	2	accuracy = # dataset in seacrowd
alk	1	accuracy = # dataset in seacrowd
alo	1	accuracy = # dataset in seacrowd
alp	5	accuracy = # dataset in seacrowd
amk	5	accuracy = # dataset in seacrowd
amq	1	accuracy = # dataset in seacrowd
and	1	accuracy = # dataset in seacrowd
anl	1	accuracy = # dataset in seacrowd
aol	2	accuracy = # dataset in seacrowd
aos	1	accuracy = # dataset in seacrowd
aoz	3	accuracy = # dataset in seacrowd
apx	1	accuracy = # dataset in seacrowd
aqm	1	accuracy = # dataset in seacrowd
aqn	1	accuracy = # dataset in seacrowd
asc	1	accuracy = # dataset in seacrowd
asi	1	accuracy = # dataset in seacrowd
asl	1	accuracy = # dataset in seacrowd
asy	1	accuracy = # dataset in seacrowd
asz	1	accuracy = # dataset in seacrowd
atb	4	accuracy = # dataset in seacrowd
atd	4	accuracy = # dataset in seacrowd
atk	1	accuracy = # dataset in seacrowd
atq	2	accuracy = # dataset in seacrowd
att	4	accuracy = # dataset in seacrowd
atz	1	accuracy = # dataset in seacrowd
auu	1	accuracy = # dataset in seacrowd
auw	1	accuracy = # dataset in seacrowd
awh	1	accuracy = # dataset in seacrowd
awr	1	accuracy = # dataset in seacrowd
aws	1	accuracy = # dataset in seacrowd
awu	1	accuracy = # dataset in seacrowd
awv	1	accuracy = # dataset in seacrowd
awy	1	accuracy = # dataset in seacrowd
ayz	1	accuracy = # dataset in seacrowd
bac	1	accuracy = # dataset in seacrowd
baj	1	accuracy = # dataset in seacrowd
ban	22	accuracy = # dataset in seacrowd
bay	1	accuracy = # dataset in seacrowd
bbc	9	accuracy = # dataset in seacrowd
bcd	1	accuracy = # dataset in seacrowd
bcl	13	accuracy = # dataset in seacrowd
bdg	1	accuracy = # dataset in seacrowd
bdl	1	accuracy = # dataset in seacrowd
bdq	1	accuracy = # dataset in seacrowd
bdr	1	accuracy = # dataset in seacrowd
bdw	1	accuracy = # dataset in seacrowd
bdx	1	accuracy = # dataset in seacrowd
bed	1	accuracy = # dataset in seacrowd
beg	1	accuracy = # dataset in seacrowd
bei	1	accuracy = # dataset in seacrowd
bep	1	accuracy = # dataset in seacrowd
beu	2	accuracy = # dataset in seacrowd
bew	9	accuracy = # dataset in seacrowd
bfe	1	accuracy = # dataset in seacrowd
bfn	4	accuracy = # dataset in seacrowd
bfn	4	accuracy = # dataset in seacrowd
bgi	1	accuracy = # dataset in seacrowd
bgk	2	accuracy = # dataset in seacrowd
bgl	1	accuracy = # dataset in seacrowd
bgr	3	accuracy = # dataset in seacrowd
bgs	4	accuracy = # dataset in seacrowd
bgv	1	accuracy = # dataset in seacrowd
bgz	2	accuracy = # dataset in seacrowd
bhc	1	accuracy = # dataset in seacrowd
bhp	5	accuracy = # dataset in seacrowd
bhq	1	accuracy = # dataset in seacrowd
bhw	2	accuracy = # dataset in seacrowd
bhz	2	accuracy = # dataset in seacrowd
bjn	24	accuracy = # dataset in seacrowd
bkd	4	accuracy = # dataset in seacrowd
bkl	1	accuracy = # dataset in seacrowd
bkn	1	accuracy = # dataset in seacrowd
bkn	1	accuracy = # dataset in seacrowd
bkr	1	accuracy = # dataset in seacrowd
bks	1	accuracy = # dataset in seacrowd
bku	2	accuracy = # dataset in seacrowd
bkx	4	accuracy = # dataset in seacrowd
blf	1	accuracy = # dataset in seacrowd
blj	1	accuracy = # dataset in seacrowd
blk	1	accuracy = # dataset in seacrowd
blk	1	accuracy = # dataset in seacrowd
bln	1	accuracy = # dataset in seacrowd
blr	2	accuracy = # dataset in seacrowd
blr	2	accuracy = # dataset in seacrowd
bls	1	accuracy = # dataset in seacrowd
blt	4	accuracy = # dataset in seacrowd
blt	4	accuracy = # dataset in seacrowd
blw	4	accuracy = # dataset in seacrowd
blx	1	accuracy = # dataset in seacrowd
blz	5	accuracy = # dataset in seacrowd
bna	1	accuracy = # dataset in seacrowd
bnb	1	accuracy = # dataset in seacrowd
bnd	1	accuracy = # dataset in seacrowd
bnf	1	accuracy = # dataset in seacrowd
bnj	1	accuracy = # dataset in seacrowd
bno	1	accuracy = # dataset in seacrowd
bnq	1	accuracy = # dataset in seacrowd
bnv	1	accuracy = # dataset in seacrowd
bny	1	accuracy = # dataset in seacrowd
bpg	1	accuracy = # dataset in seacrowd
bpp	1	accuracy = # dataset in seacrowd
bpq	1	accuracy = # dataset in seacrowd
bpr	4	accuracy = # dataset in seacrowd
bps	4	accuracy = # dataset in seacrowd
bpv	1	accuracy = # dataset in seacrowd
bqb	1	accuracy = # dataset in seacrowd
bqq	1	accuracy = # dataset in seacrowd
bqr	1	accuracy = # dataset in seacrowd
brb	4	accuracy = # dataset in seacrowd
brb	4	accuracy = # dataset in seacrowd
brb	4	accuracy = # dataset in seacrowd
brp	1	accuracy = # dataset in seacrowd
brs	1	accuracy = # dataset in seacrowd
bru	4	accuracy = # dataset in seacrowd
bru	4	accuracy = # dataset in seacrowd
brv	4	accuracy = # dataset in seacrowd
brv	4	accuracy = # dataset in seacrowd
bsa	1	accuracy = # dataset in seacrowd
bsb	2	accuracy = # dataset in seacrowd
bsb	2	accuracy = # dataset in seacrowd
bsm	1	accuracy = # dataset in seacrowd
bsy	1	accuracy = # dataset in seacrowd
btd	3	accuracy = # dataset in seacrowd
bth	2	accuracy = # dataset in seacrowd
bth	2	accuracy = # dataset in seacrowd
bti	1	accuracy = # dataset in seacrowd
btj	1	accuracy = # dataset in seacrowd
btm	3	accuracy = # dataset in seacrowd
btn	1	accuracy = # dataset in seacrowd
bto	4	accuracy = # dataset in seacrowd
btq	1	accuracy = # dataset in seacrowd
bts	5	accuracy = # dataset in seacrowd
btw	1	accuracy = # dataset in seacrowd
btx	7	accuracy = # dataset in seacrowd
bty	1	accuracy = # dataset in seacrowd
btz	1	accuracy = # dataset in seacrowd
bug	20	accuracy = # dataset in seacrowd
bup	1	accuracy = # dataset in seacrowd
bvk	1	accuracy = # dataset in seacrowd
bvz	2	accuracy = # dataset in seacrowd
bwe	1	accuracy = # dataset in seacrowd
bwp	1	accuracy = # dataset in seacrowd
bya	3	accuracy = # dataset in seacrowd
byl	1	accuracy = # dataset in seacrowd
bzi	6	accuracy = # dataset in seacrowd
bzl	1	accuracy = # dataset in seacrowd
bzp	1	accuracy = # dataset in seacrowd
bzq	2	accuracy = # dataset in seacrowd
bzu	1	accuracy = # dataset in seacrowd
cbk	8	accuracy = # dataset in seacrowd
cbn	2	accuracy = # dataset in seacrowd
ccm	1	accuracy = # dataset in seacrowd
ccp	4	accuracy = # dataset in seacrowd
ceb	37	accuracy = # dataset in seacrowd
cek	1	accuracy = # dataset in seacrowd
cfm	4	accuracy = # dataset in seacrowd
cgc	7	accuracy = # dataset in seacrowd
cia	1	accuracy = # dataset in seacrowd
cja	1	accuracy = # dataset in seacrowd
cja	1	accuracy = # dataset in seacrowd
cje	2	accuracy = # dataset in seacrowd
cjm	1	accuracy = # dataset in seacrowd
ckh	1	accuracy = # dataset in seacrowd
clu	3	accuracy = # dataset in seacrowd
cma	1	accuracy = # dataset in seacrowd
cml	1	accuracy = # dataset in seacrowd
cmo	6	accuracy = # dataset in seacrowd
cmo	6	accuracy = # dataset in seacrowd
cmr	2	accuracy = # dataset in seacrowd
cnh	7	accuracy = # dataset in seacrowd
cnk	1	accuracy = # dataset in seacrowd
cns	1	accuracy = # dataset in seacrowd
cnw	1	accuracy = # dataset in seacrowd
cog	3	accuracy = # dataset in seacrowd
cps	2	accuracy = # dataset in seacrowd
crw	2	accuracy = # dataset in seacrowd
csy	3	accuracy = # dataset in seacrowd
ctd	4	accuracy = # dataset in seacrowd
cth	1	accuracy = # dataset in seacrowd
cts	1	accuracy = # dataset in seacrowd
cua	1	accuracy = # dataset in seacrowd
cwg	1	accuracy = # dataset in seacrowd
cyo	1	accuracy = # dataset in seacrowd
czt	1	accuracy = # dataset in seacrowd
dao	1	accuracy = # dataset in seacrowd
daw	1	accuracy = # dataset in seacrowd
day	3	accuracy = # dataset in seacrowd
dbe	1	accuracy = # dataset in seacrowd
dbf	1	accuracy = # dataset in seacrowd
dbj	1	accuracy = # dataset in seacrowd
dbn	1	accuracy = # dataset in seacrowd
ddg	4	accuracy = # dataset in seacrowd
ddw	1	accuracy = # dataset in seacrowd
dei	1	accuracy = # dataset in seacrowd
dem	1	accuracy = # dataset in seacrowd
dgc	4	accuracy = # dataset in seacrowd
dij	1	accuracy = # dataset in seacrowd
diy	1	accuracy = # dataset in seacrowd
dmg	2	accuracy = # dataset in seacrowd
dmr	1	accuracy = # dataset in seacrowd
dms	1	accuracy = # dataset in seacrowd
dmu	1	accuracy = # dataset in seacrowd
dmy	1	accuracy = # dataset in seacrowd
dna	1	accuracy = # dataset in seacrowd
dni	2	accuracy = # dataset in seacrowd
dnt	1	accuracy = # dataset in seacrowd
dnu	1	accuracy = # dataset in seacrowd
dnw	3	accuracy = # dataset in seacrowd
dok	1	accuracy = # dataset in seacrowd
drg	1	accuracy = # dataset in seacrowd
drn	1	accuracy = # dataset in seacrowd
dro	1	accuracy = # dataset in seacrowd
dsn	1	accuracy = # dataset in seacrowd
dtp	8	accuracy = # dataset in seacrowd
dtr	1	accuracy = # dataset in seacrowd
due	3	accuracy = # dataset in seacrowd
dul	1	accuracy = # dataset in seacrowd
dun	1	accuracy = # dataset in seacrowd
duo	3	accuracy = # dataset in seacrowd
duq	1	accuracy = # dataset in seacrowd
duu	3	accuracy = # dataset in seacrowd
duv	1	accuracy = # dataset in seacrowd
duw	1	accuracy = # dataset in seacrowd
ebk	4	accuracy = # dataset in seacrowd
eip	2	accuracy = # dataset in seacrowd
ekg	1	accuracy = # dataset in seacrowd
eky	1	accuracy = # dataset in seacrowd
eky	1	accuracy = # dataset in seacrowd
emb	1	accuracy = # dataset in seacrowd
emw	1	accuracy = # dataset in seacrowd
enc	2	accuracy = # dataset in seacrowd
end	2	accuracy = # dataset in seacrowd
eno	1	accuracy = # dataset in seacrowd
enr	1	accuracy = # dataset in seacrowd
ert	1	accuracy = # dataset in seacrowd
erw	1	accuracy = # dataset in seacrowd
etz	1	accuracy = # dataset in seacrowd
fau	2	accuracy = # dataset in seacrowd
fbl	1	accuracy = # dataset in seacrowd
fil	85	accuracy = # dataset in seacrowd
flh	1	accuracy = # dataset in seacrowd
frd	2	accuracy = # dataset in seacrowd
gad	1	accuracy = # dataset in seacrowd
gal	3	accuracy = # dataset in seacrowd
gal	3	accuracy = # dataset in seacrowd
gay	1	accuracy = # dataset in seacrowd
gbi	3	accuracy = # dataset in seacrowd
gdg	3	accuracy = # dataset in seacrowd
gei	1	accuracy = # dataset in seacrowd
ges	1	accuracy = # dataset in seacrowd
giq	2	accuracy = # dataset in seacrowd
gir	1	accuracy = # dataset in seacrowd
gop	1	accuracy = # dataset in seacrowd
gor	9	accuracy = # dataset in seacrowd
grm	1	accuracy = # dataset in seacrowd
grs	1	accuracy = # dataset in seacrowd
gzn	1	accuracy = # dataset in seacrowd
had	1	accuracy = # dataset in seacrowd
hal	2	accuracy = # dataset in seacrowd
hal	2	accuracy = # dataset in seacrowd
hbu	1	accuracy = # dataset in seacrowd
heg	4	accuracy = # dataset in seacrowd
hil	16	accuracy = # dataset in seacrowd
hlt	3	accuracy = # dataset in seacrowd
hmu	1	accuracy = # dataset in seacrowd
hmv	1	accuracy = # dataset in seacrowd
hni	4	accuracy = # dataset in seacrowd
hni	4	accuracy = # dataset in seacrowd
hnj	5	accuracy = # dataset in seacrowd
hnj	5	accuracy = # dataset in seacrowd
hnj	5	accuracy = # dataset in seacrowd
hnn	3	accuracy = # dataset in seacrowd
hpo	1	accuracy = # dataset in seacrowd
hre	1	accuracy = # dataset in seacrowd
hrk	1	accuracy = # dataset in seacrowd
hro	2	accuracy = # dataset in seacrowd
htu	1	accuracy = # dataset in seacrowd
huw	1	accuracy = # dataset in seacrowd
hvn	3	accuracy = # dataset in seacrowd
iba	7	accuracy = # dataset in seacrowd
iba	7	accuracy = # dataset in seacrowd
iba	7	accuracy = # dataset in seacrowd
ibg	2	accuracy = # dataset in seacrowd
ibl	1	accuracy = # dataset in seacrowd
idt	3	accuracy = # dataset in seacrowd
ifa	5	accuracy = # dataset in seacrowd
ifb	4	accuracy = # dataset in seacrowd
ifk	2	accuracy = # dataset in seacrowd
ifu	4	accuracy = # dataset in seacrowd
ify	4	accuracy = # dataset in seacrowd
ihp	1	accuracy = # dataset in seacrowd
ila	1	accuracy = # dataset in seacrowd
ilk	1	accuracy = # dataset in seacrowd
ilm	1	accuracy = # dataset in seacrowd
ilo	21	accuracy = # dataset in seacrowd
ilu	1	accuracy = # dataset in seacrowd
imr	1	accuracy = # dataset in seacrowd
ind	268	accuracy = # dataset in seacrowd
inn	1	accuracy = # dataset in seacrowd
ire	1	accuracy = # dataset in seacrowd
irh	1	accuracy = # dataset in seacrowd
irr	1	accuracy = # dataset in seacrowd
irx	1	accuracy = # dataset in seacrowd
iry	1	accuracy = # dataset in seacrowd
isd	3	accuracy = # dataset in seacrowd
itb	1	accuracy = # dataset in seacrowd
itd	1	accuracy = # dataset in seacrowd
itd	1	accuracy = # dataset in seacrowd
itv	3	accuracy = # dataset in seacrowd
itx	1	accuracy = # dataset in seacrowd
ium	2	accuracy = # dataset in seacrowd
ium	2	accuracy = # dataset in seacrowd
ivb	3	accuracy = # dataset in seacrowd
ivv	3	accuracy = # dataset in seacrowd
iwo	1	accuracy = # dataset in seacrowd
jah	1	accuracy = # dataset in seacrowd
jak	1	accuracy = # dataset in seacrowd
jaq	1	accuracy = # dataset in seacrowd
jau	2	accuracy = # dataset in seacrowd
jav	76	accuracy = # dataset in seacrowd
jax	1	accuracy = # dataset in seacrowd
jbj	1	accuracy = # dataset in seacrowd
jbr	1	accuracy = # dataset in seacrowd
jeh	2	accuracy = # dataset in seacrowd
jeh	2	accuracy = # dataset in seacrowd
jei	1	accuracy = # dataset in seacrowd
jel	1	accuracy = # dataset in seacrowd
jet	1	accuracy = # dataset in seacrowd
jhi	1	accuracy = # dataset in seacrowd
jka	1	accuracy = # dataset in seacrowd
jmd	1	accuracy = # dataset in seacrowd
jmn	1	accuracy = # dataset in seacrowd
jra	7	accuracy = # dataset in seacrowd
jra	7	accuracy = # dataset in seacrowd
kac	11	accuracy = # dataset in seacrowd
kag	1	accuracy = # dataset in seacrowd
kak	4	accuracy = # dataset in seacrowd
kbi	1	accuracy = # dataset in seacrowd
kbv	1	accuracy = # dataset in seacrowd
kcd	1	accuracy = # dataset in seacrowd
kdt	1	accuracy = # dataset in seacrowd
kdt	1	accuracy = # dataset in seacrowd
kdt	1	accuracy = # dataset in seacrowd
kdw	1	accuracy = # dataset in seacrowd
kdy	1	accuracy = # dataset in seacrowd
kei	1	accuracy = # dataset in seacrowd
kem	1	accuracy = # dataset in seacrowd
kem	1	accuracy = # dataset in seacrowd
kgb	1	accuracy = # dataset in seacrowd
kge	1	accuracy = # dataset in seacrowd
kgi	1	accuracy = # dataset in seacrowd
kgq	1	accuracy = # dataset in seacrowd
kgr	1	accuracy = # dataset in seacrowd
kgv	2	accuracy = # dataset in seacrowd
kgw	1	accuracy = # dataset in seacrowd
kgx	1	accuracy = # dataset in seacrowd
khb	5	accuracy = # dataset in seacrowd
khb	5	accuracy = # dataset in seacrowd
khc	1	accuracy = # dataset in seacrowd
khd	1	accuracy = # dataset in seacrowd
khe	2	accuracy = # dataset in seacrowd
khg	2	accuracy = # dataset in seacrowd
khh	1	accuracy = # dataset in seacrowd
khm	50	accuracy = # dataset in seacrowd
khm	50	accuracy = # dataset in seacrowd
khp	1	accuracy = # dataset in seacrowd
kht	1	accuracy = # dataset in seacrowd
kig	1	accuracy = # dataset in seacrowd
kiq	1	accuracy = # dataset in seacrowd
kix	1	accuracy = # dataset in seacrowd
kiy	1	accuracy = # dataset in seacrowd
kja	1	accuracy = # dataset in seacrowd
kjc	1	accuracy = # dataset in seacrowd
kje	5	accuracy = # dataset in seacrowd
kjg	2	accuracy = # dataset in seacrowd
kjg	2	accuracy = # dataset in seacrowd
kjg	2	accuracy = # dataset in seacrowd
kjm	2	accuracy = # dataset in seacrowd
kjp	3	accuracy = # dataset in seacrowd
kjp	3	accuracy = # dataset in seacrowd
kjr	1	accuracy = # dataset in seacrowd
kkb	1	accuracy = # dataset in seacrowd
kkh	5	accuracy = # dataset in seacrowd
kkl	3	accuracy = # dataset in seacrowd
kkv	1	accuracy = # dataset in seacrowd
klg	1	accuracy = # dataset in seacrowd
kli	1	accuracy = # dataset in seacrowd
kll	1	accuracy = # dataset in seacrowd
klw	1	accuracy = # dataset in seacrowd
kly	1	accuracy = # dataset in seacrowd
klz	1	accuracy = # dataset in seacrowd
kmk	4	accuracy = # dataset in seacrowd
kml	1	accuracy = # dataset in seacrowd
kmt	1	accuracy = # dataset in seacrowd
knb	1	accuracy = # dataset in seacrowd
knd	1	accuracy = # dataset in seacrowd
kne	4	accuracy = # dataset in seacrowd
knq	1	accuracy = # dataset in seacrowd
kns	1	accuracy = # dataset in seacrowd
kns	1	accuracy = # dataset in seacrowd
knx	1	accuracy = # dataset in seacrowd
knx	1	accuracy = # dataset in seacrowd
kod	2	accuracy = # dataset in seacrowd
kpi	1	accuracy = # dataset in seacrowd
kpm	1	accuracy = # dataset in seacrowd
kpq	1	accuracy = # dataset in seacrowd
kps	1	accuracy = # dataset in seacrowd
kpu	1	accuracy = # dataset in seacrowd
kqe	4	accuracy = # dataset in seacrowd
kqr	4	accuracy = # dataset in seacrowd
krd	1	accuracy = # dataset in seacrowd
krj	5	accuracy = # dataset in seacrowd
krr	4	accuracy = # dataset in seacrowd
krz	1	accuracy = # dataset in seacrowd
ksc	3	accuracy = # dataset in seacrowd
ksw	7	accuracy = # dataset in seacrowd
ksw	7	accuracy = # dataset in seacrowd
ksx	1	accuracy = # dataset in seacrowd
kta	1	accuracy = # dataset in seacrowd
kti	1	accuracy = # dataset in seacrowd
ktp	1	accuracy = # dataset in seacrowd
kts	1	accuracy = # dataset in seacrowd
ktt	1	accuracy = # dataset in seacrowd
ktv	1	accuracy = # dataset in seacrowd
kuc	1	accuracy = # dataset in seacrowd
kuv	1	accuracy = # dataset in seacrowd
kvb	1	accuracy = # dataset in seacrowd
kvd	1	accuracy = # dataset in seacrowd
kvo	1	accuracy = # dataset in seacrowd
kvq	1	accuracy = # dataset in seacrowd
kvr	1	accuracy = # dataset in seacrowd
kvu	1	accuracy = # dataset in seacrowd
kvw	1	accuracy = # dataset in seacrowd
kvy	1	accuracy = # dataset in seacrowd
kvz	1	accuracy = # dataset in seacrowd
kwe	1	accuracy = # dataset in seacrowd
kwh	1	accuracy = # dataset in seacrowd
kwr	1	accuracy = # dataset in seacrowd
kwt	1	accuracy = # dataset in seacrowd
kxd	3	accuracy = # dataset in seacrowd
kxf	1	accuracy = # dataset in seacrowd
kxm	2	accuracy = # dataset in seacrowd
kxn	1	accuracy = # dataset in seacrowd
kxq	1	accuracy = # dataset in seacrowd
kyi	1	accuracy = # dataset in seacrowd
kyk	1	accuracy = # dataset in seacrowd
kyn	1	accuracy = # dataset in seacrowd
kyo	1	accuracy = # dataset in seacrowd
kyp	1	accuracy = # dataset in seacrowd
kyt	1	accuracy = # dataset in seacrowd
kyu	2	accuracy = # dataset in seacrowd
kzf	2	accuracy = # dataset in seacrowd
kzi	1	accuracy = # dataset in seacrowd
kzi	1	accuracy = # dataset in seacrowd
kzl	1	accuracy = # dataset in seacrowd
kzm	1	accuracy = # dataset in seacrowd
kzp	1	accuracy = # dataset in seacrowd
kzu	1	accuracy = # dataset in seacrowd
kzv	1	accuracy = # dataset in seacrowd
kzz	1	accuracy = # dataset in seacrowd
laa	1	accuracy = # dataset in seacrowd
lao	36	accuracy = # dataset in seacrowd
lao	36	accuracy = # dataset in seacrowd
laq	1	accuracy = # dataset in seacrowd
lau	1	accuracy = # dataset in seacrowd
law	2	accuracy = # dataset in seacrowd
lbk	4	accuracy = # dataset in seacrowd
lbl	1	accuracy = # dataset in seacrowd
lbn	1	accuracy = # dataset in seacrowd
lbo	1	accuracy = # dataset in seacrowd
lbt	1	accuracy = # dataset in seacrowd
lbw	1	accuracy = # dataset in seacrowd
lbx	1	accuracy = # dataset in seacrowd
lcc	1	accuracy = # dataset in seacrowd
lcf	1	accuracy = # dataset in seacrowd
lcl	1	accuracy = # dataset in seacrowd
lcp	1	accuracy = # dataset in seacrowd
lev	1	accuracy = # dataset in seacrowd
lew	3	accuracy = # dataset in seacrowd
lex	5	accuracy = # dataset in seacrowd
ley	1	accuracy = # dataset in seacrowd
lgi	1	accuracy = # dataset in seacrowd
lha	1	accuracy = # dataset in seacrowd
lhi	1	accuracy = # dataset in seacrowd
lhn	1	accuracy = # dataset in seacrowd
lhu	8	accuracy = # dataset in seacrowd
lhu	8	accuracy = # dataset in seacrowd
lis	1	accuracy = # dataset in seacrowd
lix	1	accuracy = # dataset in seacrowd
lje	1	accuracy = # dataset in seacrowd
lji	1	accuracy = # dataset in seacrowd
ljl	2	accuracy = # dataset in seacrowd
ljp	3	accuracy = # dataset in seacrowd
lkj	1	accuracy = # dataset in seacrowd
llg	2	accuracy = # dataset in seacrowd
llk	1	accuracy = # dataset in seacrowd
llm	1	accuracy = # dataset in seacrowd
lmr	1	accuracy = # dataset in seacrowd
lmy	1	accuracy = # dataset in seacrowd
lnd	2	accuracy = # dataset in seacrowd
lnd	2	accuracy = # dataset in seacrowd
lnd	2	accuracy = # dataset in seacrowd
lnh	1	accuracy = # dataset in seacrowd
