Language	Accuracy	Source
ace	0.6741469575	aya-101 topic weighted f1-score
ban	0.7645427816	aya-101 topic weighted f1-score
bew	0.6232021323	aya-101 topic weighted f1-score
bjn	0.6562750145	aya-101 topic weighted f1-score
btx	0.5809551317	aya-101 topic weighted f1-score
bug	0.6425936285	aya-101 topic weighted f1-score
ceb	0.8003627031	aya-101 topic weighted f1-score
fil	0.7921394064	aya-101 topic weighted f1-score
ilo	0.7541277316	aya-101 topic weighted f1-score
ind	0.7822078254	aya-101 topic weighted f1-score
jav	0.6740084925	aya-101 topic weighted f1-score
kac	0.4561718186	aya-101 topic weighted f1-score
khm	0.6252266275	aya-101 topic weighted f1-score
lao	0.7411618491	aya-101 topic weighted f1-score
lus	0.7182673384	aya-101 topic weighted f1-score
mad	0.5852148182	aya-101 topic weighted f1-score
mak	0.5634191067	aya-101 topic weighted f1-score
min	0.6464444384	aya-101 topic weighted f1-score
mui	0.6428755709	aya-101 topic weighted f1-score
mya	0.7702406544	aya-101 topic weighted f1-score
pag	0.7571097465	aya-101 topic weighted f1-score
rej	0.5548448678	aya-101 topic weighted f1-score
shn	0.6709819816	aya-101 topic weighted f1-score
sun	0.7005531798	aya-101 topic weighted f1-score
tha	0.7841208814	aya-101 topic weighted f1-score
vie	0.635829996	aya-101 topic weighted f1-score
war	0.7905345517	aya-101 topic weighted f1-score
zsm	0.8004755973	aya-101 topic weighted f1-score
